#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	KINGCO-007-AKQ014A	KINGCO-007-AKQ014B	KINGCO-007-AKQ01A	KINGCO-007-AKQ01B	KINGCO-007-AKQ02A	KINGCO-007-AKQ02B	KINGCO-007-AKQ03A	KINGCO-007-AKQ03B	KINGCO-007-AKQ05A	KINGCO-007-AKQ05B
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718	0.119626	0.239958	0.0	0.0	0.0	0.0	0.0	0.000149	2.7e-05	0.0
k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070	0.10631	0.126471	0.0	0.004696	0.063451	0.349516	0.016224	0.007585	0.169405	0.046003
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia|o__Desulfovibrionales	0.103538	0.107444	0.011762	0.012334	0.006393	0.008755	0.032488	0.120109	0.151898	0.037319
k__Bacteria|p__Firmicutes|c__CFGB2952|o__OFGB2952	0.06986	0.053592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1217|o__OFGB1217	0.055428	0.125371	0.078085	0.037199	0.030784	0.019202	0.151513	0.11367	0.007405	0.005552
k__Bacteria|p__Bacteroidota|c__CFGB1670|o__OFGB1670	0.047098	0.083427	0.0	0.0	0.0	0.0	0.388789	0.259623	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9345|o__OFGB9345	0.044139	0.345967	0.0	0.0	0.0	0.0	0.0	0.0	2.676799	0.545082
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales	0.043884	0.022316	0.181435	0.071163	0.129818	0.006521	0.021436	0.053003	0.123021	0.042111
k__Bacteria|p__Firmicutes|c__CFGB1776|o__OFGB1776	0.041656	0.433302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB79291|o__OFGB79291	0.039279	0.122158	0.016984	0.016705	0.0	0.0	0.012926	0.006837	0.044617	0.0
k__Bacteria|p__Firmicutes|c__CFGB77202|o__OFGB77202	0.036594	0.081686	0.024688	0.02237	0.005937	0.013947	0.003364	0.00115	0.040698	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales	0.036557	0.081664	0.134504	0.040477	0.0	0.036785	0.013042	0.05966	0.013622	0.0
k__Bacteria|p__Firmicutes|c__CFGB15212|o__OFGB15212	0.034442	0.063398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified|o__Bacillota_unclassified	0.034436	0.105368	0.101907	0.104928	0.218682	0.412746	0.076654	0.153631	0.054368	0.012434
k__Bacteria|p__Firmicutes|c__CFGB78291|o__OFGB78291	0.032643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2846|o__OFGB2846	0.032215	0.027427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2984|o__OFGB2984	0.03081	0.195575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.090729
k__Bacteria|p__Firmicutes|c__CFGB48199|o__OFGB48199	0.030065	0.059753	0.0	0.0	0.0	0.001532	0.0	0.004318	0.0	0.0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	0.029293	0.019263	0.022476	0.04902	0.008088	0.0	0.0	0.017044	0.0	0.0
